Strike,Date,Village/local area,District,Province,Type of attack,Reportedly drone?,US confirmed?,US only source?,"Counter-
terrorism, force protection or strategic effects?",Reported target group?,Time,Reported target type,Minimum strikes,Maximum strikes,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,Timeline URL,Index
AFG753,17/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Suppressed enemy action,2,2,0,0,0,0,0,0,0,0,,,747
AFG754,17/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,Two buildings and one tactical unit,3,3,0,0,0,0,0,0,0,0,,,744
AFG755,17/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,Four fighting positions and weapons caches,4,4,0,0,0,0,0,0,0,0,,,745
AFG756,17/10/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,One communications tower,2,2,0,0,0,0,0,0,0,0,,,746
AFG757,17/10/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,Two communications towers,2,2,0,0,0,0,0,0,0,0,,,748
AFG758,17/10/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,One vehicle,1,1,0,0,0,0,0,0,0,0,,,749
AFG759,18/10/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,Disrupted enemy action,1,1,0,0,0,0,0,0,0,0,,,750
AFG760,18/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,One staging area,3,3,0,0,0,0,0,0,0,0,,,751
AFG761,18/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,Denied the enemy terrain,1,1,0,0,0,0,0,0,0,0,,,752
AFG762,18/10/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,753
AFG763,18/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Four buildings and one fighting position,6,6,0,0,0,0,0,0,0,0,,,754
AFG764,19/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,One fighting position,2,2,0,0,0,0,0,0,0,0,,,755
AFG765,19/10/2018,Unknown,Unknown,Kabul,US strike,0,1,1,-,-,-,One tactical unit,2,2,0,0,0,0,0,0,0,0,,,756
AFG766,19/10/2018,Unknown,Unknown,Kapisa,US strike,0,1,1,-,-,-,One cave and a weapons cache,1,1,0,0,0,0,0,0,0,0,,,757
AFG767,19/10/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,One cave,2,2,0,0,0,0,0,0,0,0,,,758
AFG768,19/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,759
AFG769,19/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Four buildings,4,4,0,0,0,0,0,0,0,0,,,760
AFG770,19/10/2018,Unknown,Unknown,Nimroz,US strike,0,1,1,-,-,-,Two vehicles,2,2,0,0,0,0,0,0,0,0,,,761
AFG771,20/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Two buildings and two vehicles,6,6,0,0,0,0,0,0,0,0,,,766
AFG772,20/10/2018,Unknown,Unknown,Baghlan,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,762
AFG773,20/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,Three fighting positions,2,2,0,0,0,0,0,0,0,0,,,763
AFG774,20/10/2018,Unknown,Unknown,Khost,US strike,0,1,1,-,-,-,Two buildings and one tactical unit,4,4,0,0,0,0,0,0,0,0,,,764
AFG775,20/10/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,"Two buildings, two rocket systems, one weapons cache and one fighting position",7,7,0,0,0,0,0,0,0,0,,,765
AFG776,20/10/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,767
AFG777,21/10/2018,Unknown,Unknown,Ghor,US strike,0,1,1,-,-,-,One tactical unit,2,2,0,0,0,0,0,0,0,0,,,768
AFG778,21/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,Three motorcycles and one building,3,3,0,0,0,0,0,0,0,0,,,769
AFG779,21/10/2018,Unknown,Unknown,Kapisa,US strike,0,1,1,-,-,-,One fighting position,2,2,0,0,0,0,0,0,0,0,,,770
AFG780,21/10/2018,Unknown,Unknown,Khost,US strike,0,1,1,-,-,-,One improvised explosive device,1,1,0,0,0,0,0,0,0,0,,,771
AFG781,21/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,"Two fighting positions, one cave and one weapons cache",4,4,0,0,0,0,0,0,0,0,,,772
AFG782,21/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,773
AFG783,21/10/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,One tactical unit,3,3,0,0,0,0,0,0,0,0,,,774
AFG784,21/10/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,One vehicle,1,1,0,0,0,0,0,0,0,0,,,775
AFG785,21/10/2018,Unknown,Unknown,Zabul,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,776
AFG786,22/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,One vehicle,1,1,0,0,0,0,0,0,0,0,,,777
AFG787,22/10/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,One house-borne improvised explosive device,1,1,0,0,0,0,0,0,0,0,,,778
AFG788,22/10/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,One fighting position,1,1,0,0,0,0,0,0,0,0,,,779
AFG789,22/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,Four fighting positions and two mortar positions,5,5,0,0,0,0,0,0,0,0,,,780
AFG790,22/10/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,781
AFG791,22/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,One weapons cache,1,1,0,0,0,0,0,0,0,0,,,782
AFG792,22/10/2018,Unknown,Unknown,Nuristan,US strike,0,1,1,-,-,-,"Three caves, two vehicles and one tactical unit",8,8,0,0,0,0,0,0,0,0,,,783
AFG793,23/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,One fighting position and denied the enemy terrain,2,2,0,0,0,0,0,0,0,0,,,784
AFG794,23/10/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,One tactical unit,2,2,0,0,0,0,0,0,0,0,,,785
AFG795,24/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,Two motorcycles,2,2,0,0,0,0,0,0,0,0,,,786
AFG796,24/10/2018,Unknown,Unknown,Khost,US strike,0,1,1,-,-,-,Suppressed enemy action,1,1,0,0,0,0,0,0,0,0,,,787
AFG797,24/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,"Two fighting positions, two caves and one weapons cache",3,3,0,0,0,0,0,0,0,0,,,788
AFG798,25/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Two fighting positions,3,3,0,3,0,0,0,0,0,0,,,794
AFG799,25/10/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,2,0,0,0,0,0,3,,,791
AFG800,25/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,One motorcycle,1,1,0,0,0,0,0,0,0,0,,,789
AFG801,25/10/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,"Four tunnels, three staging areas and one weapons cache",4,4,0,0,0,0,0,0,0,0,,,790
AFG802,25/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,"Two caves, one weapons cache and one fighting position",2,2,0,0,0,0,0,0,0,0,,,792
AFG803,25/10/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,One motorcycle,1,1,0,0,0,0,0,0,0,0,,,793
AFG804,26/10/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,Three motorcycles,1,1,0,0,0,0,0,0,0,0,,,795
AFG805,26/10/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,One mortar position and one motorcycle,1,1,0,0,0,0,0,0,0,0,,,796
AFG806,26/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,One tactical unit,3,3,0,0,0,0,0,0,0,0,,,797
AFG807,26/10/2018,Unknown,Unknown,Nimroz,US strike,0,1,1,-,-,-,One vehicle and disrupted enemy action,3,3,0,0,0,0,0,0,0,0,,,798
AFG808,26/10/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,One vehicle,1,1,0,0,0,0,0,0,0,0,,,799
AFG809,26/10/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,Disrupted enemy action,1,1,0,0,0,0,0,0,0,0,,,800
AFG810,27/10/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,Denied the enemy terrain,1,1,0,0,0,0,0,0,0,0,,,801
AFG811,27/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,Three fighting positions,3,3,0,0,0,0,0,0,0,0,,,802
AFG812,27/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,803
AFG813,28/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,One tactical unit,5,5,0,3,0,0,0,0,0,0,,,805
AFG814,28/10/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,One tactical unit,2,2,0,0,0,0,0,0,0,0,,,804
AFG815,28/10/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,Denied the enemy terrain,1,1,0,0,0,0,0,0,0,0,,,806
AFG816,29/10/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,Two caves,2,2,0,0,0,0,0,0,0,0,,,807
AFG817,29/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Three fighting positions and one cave,4,4,0,0,0,0,0,0,0,0,,,808
AFG818,29/10/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,One tactical unit,3,3,0,0,0,0,0,0,0,0,,,809
AFG819,29/10/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,One mortar position,1,1,0,0,0,0,0,0,0,0,,,810
AFG820,30/10/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,One tactical unit,2,2,0,0,0,0,0,0,0,0,,,811
AFG821,30/10/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,Denied the enemy terrain,1,1,0,0,0,0,0,0,0,0,,,812
AFG822,30/10/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,Disrupted enemy actions,1,1,0,0,0,0,0,0,0,0,,,813
AFG823,31/10/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,One tactical unit,1,1,0,0,0,0,0,0,0,0,,,814
AFG824,01/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,815
AFG825,01/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,816
AFG826,01/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,817
AFG827,02/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,818
AFG828,02/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,819
AFG829,02/11/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,820
AFG830,03/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,821
AFG831,03/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,822
AFG832,04/11/2018,Unknown,Unknown,Kapisa,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,823
AFG833,04/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,824
AFG834,04/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,825
AFG835,04/11/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,826
AFG836,05/11/2018,Unknown,Unknown,Baghlan,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,827
AFG837,05/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,828
AFG838,05/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,829
AFG839,05/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,830
AFG840,05/11/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,-,1,1,0,0,0,21,0,0,0,5,,,831
AFG841,05/11/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,832
AFG842,06/11/2018,Unknown,Unknown,Baghlan,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,833
AFG843,06/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,7,7,0,0,0,0,0,0,0,0,,,834
AFG844,06/11/2018,Unknown,Unknown,Kapisa,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,835
AFG845,06/11/2018,Unknown,Unknown,Khost,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,836
AFG846,06/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,837
AFG847,06/11/2018,Unknown,Unknown,Laghman,US strike,,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,838
AFG848,06/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,839
AFG849,06/11/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,840
AFG850,06/11/2018,Unknown,Unknown,Uruzgan,US strike,,,,,,,,1,1,0,0,0,0,0,0,0,0,,,
AFG851,06/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,841
AFG852,07/11/2018,Unknown,Unknown,Baghlan,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,842
AFG853,07/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,843
AFG854,07/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,844
AFG855,07/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,845
AFG856,07/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,846
AFG857,07/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,847
AFG858,07/11/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,848
AFG859,08/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,849
AFG860,08/11/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,850
AFG861,08/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,851
AFG862,08/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,852
AFG863,09/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,853
AFG864,09/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,854
AFG865,09/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,855
AFG866,09/11/2018,Unknown,Unknown,Kunduz,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,856
AFG867,09/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,857
AFG868,09/11/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,858
AFG869,09/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,859
AFG870,10/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,8,8,0,0,0,0,0,0,0,0,,,860
AFG871,10/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,861
AFG872,10/11/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,862
AFG873,10/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,863
AFG874,10/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,864
AFG875,12/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,865
AFG876,11/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,866
AFG877,11/11/2018,Unknown,Unknown,Kabul,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,867
AFG878,11/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,868
AFG879,11/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,869
AFG880,12/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,870
AFG881,12/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,871
AFG882,12/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,872
AFG883,12/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,873
AFG884,12/11/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,-,16,16,0,0,0,0,0,0,0,0,,,874
AFG885,13/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,875
AFG886,13/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,876
AFG887,13/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,877
AFG888,13/11/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,878
AFG889,13/11/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,879
AFG890,14/11/2018,Unknown,Unknown,Balkh,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,880
AFG891,14/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,881
AFG892,14/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,8,8,0,0,0,0,0,0,0,0,,,882
AFG893,14/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,883
AFG894,14/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,884
AFG895,14/11/2018,Unknown,Unknown,Nimroz,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,885
AFG896,15/11/2018,Unknown,Unknown,Farah,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,886
AFG897,15/11/2018,Unknown,Unknown,Ghor,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,887
AFG898,15/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,888
AFG899,15/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,20,20,0,0,0,0,0,0,0,0,,,889
AFG900,15/11/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,890
AFG901,15/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,891
AFG902,16/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,892
AFG903,16/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,893
AFG904,16/11/2018,Unknown,Unknown,Kunar,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,895
AFG905,16/11/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,896
AFG906,16/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,12,12,0,0,0,0,0,0,0,0,,,897
AFG907,16/11/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,898
AFG908,16/11/2018,Unknown,Unknown,Parwan,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,899
AFG909,17/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,900
AFG910,17/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,901
AFG911,17/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,28,28,0,0,0,0,0,0,0,0,,,902
AFG912,17/11/2018,Unknown,Unknown,Uruzgan,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,903
AFG913,18/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,904
AFG914,18/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,905
AFG915,18/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,906
AFG916,18/11/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,907
AFG917,18/11/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,908
AFG918,19/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,909
AFG919,19/11/2018,Unknown,Unknown,Laghman,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,910
AFG920,19/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,911
AFG921,19/11/2018,Unknown,Unknown,Paktika,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,912
AFG922,20/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,4,4,0,0,0,0,0,0,0,0,,,913
AFG923,20/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,914
AFG924,20/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,915
AFG925,20/11/2018,Unknown,Unknown,Kunduz,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,916
AFG926,20/11/2018,Unknown,Unknown,Logar,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,917
AFG927,20/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,918
AFG928,20/11/2018,Unknown,Unknown,Nimroz,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,919
AFG929,20/11/2018,Unknown,Unknown,Paktia,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,920
AFG930,20/11/2018,Unknown,Unknown,Wardak,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,921
AFG931,21/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,922
AFG932,21/11/2018,Unknown,Unknown,Kunduz,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,923
AFG933,21/11/2018,Unknown,Unknown,Takhar,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,924
AFG934,22/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,925
AFG935,22/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,5,5,0,0,0,0,0,0,0,0,,,926
AFG936,22/11/2018,Unknown,Unknown,Nimroz,US strike,0,1,1,-,-,-,-,2,2,0,0,0,0,0,0,0,0,,,927
AFG937,23/11/2018,Unknown,Unknown,Ghazni,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,928
AFG938,23/11/2018,Unknown,Unknown,Helmand,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,929
AFG939,23/11/2018,Unknown,Unknown,Kandahar,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,930
AFG940,23/11/2018,Unknown,Unknown,Kapisa,US strike,0,1,1,-,-,-,-,1,1,0,0,0,0,0,0,0,0,,,931
AFG941,23/11/2018,Unknown,Unknown,Kunduz,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,932
AFG942,23/11/2018,Unknown,Unknown,Nangarhar,US strike,0,1,1,-,-,-,-,3,3,0,0,0,0,0,0,0,0,,,933
